customer_id,customer_name,cohort,site_camera_count,schedule_camera_count_max,orphan_cams_minimum,active_schedules_count,deleted_schedules_count,schedule_titles
45845,hanwha 2 (Health Check),B,6,0,6,0,8,1032|Visual Camera Health|VisualCameraHealth|Deleted|cams=6/6; 1033|Visual Camera Health|VisualCameraHealth|Deleted|cams=6/6; 1034|Visual Camera Health|VisualCameraHealth|Deleted|cams=6/6; 1035|Visual Camera Health|VisualCameraHealth|Deleted|cams=4/6; 1036|Visual Camera Health|VisualCameraHealth|Deleted|cams=6/6; 1037|Visual Camera Health|VisualCameraHealth|Deleted|cams=6/6; 1051|Visual Camera Health|VisualCameraHealth|Deleted|cams=6/6; 1052|Visual Camera Health|VisualCameraHealth|Deleted|cams=6/6
42689,VCH Demo Site,B,5,0,5,0,1,431|AutoPatrol|AutoPatrol|Deleted|cams=5/5; 430|Visual Camera Health | 2|VisualCameraHealth|Paused|cams=3/5
46560,hanwha 2,F,6,1,5,1,1,1067|AutoPatrol|AutoPatrol|Deleted|cams=6/6; 1066|Test No Raise|AutoPatrol|Active|cams=1/6
37255,Site 4,B,4,0,4,0,3,124|Demo VCH|VisualCameraHealth|Deleted|cams=3/4; 166|VCH|VisualCameraHealth|Deleted|cams=4/4; 173|VCH 2|VisualCameraHealth|Deleted|cams=4/4
38313,Lab Audio,B,4,0,4,0,3,497|AutoPatrol|AutoPatrol|Paused|cams=2/4; 184|Raise|VisualCameraHealth|Deleted|cams=1/4; 498|test|AutoPatrol|Deleted|cams=2/4; 250|Test AP 3 Actuate|AutoPatrol|Deleted|cams=2/4
38578,9 Dibble Street,B,4,0,4,0,1,204|VCH Check|VisualCameraHealth|Deleted|cams=4/4
39455,"ECS Coffee - 3100 Harvester Rd, Burlington",B,4,0,4,0,1,240|VCH|VisualCameraHealth|Deleted|cams=4/4
42376,Journey Juice (2),B,4,0,4,0,1,352|JJ patrol|AutoPatrol|Deleted|cams=4/4
38235,EB,B,3,0,3,0,3,168|Raise|VisualCameraHealth|Deleted|cams=3/3; 167|Remote Patrol for Persons Afterhours|AutoPatrol|Deleted|cams=3/3; 174|VCH 2|VisualCameraHealth|Deleted|cams=3/3
38315,AB,B,3,0,3,0,2,186|Raise|VisualCameraHealth|Deleted|cams=3/3; 175|VCH 2|VisualCameraHealth|Deleted|cams=3/3
38317,NS,B,3,0,3,0,2,188|Raise|VisualCameraHealth|Deleted|cams=3/3; 177|VCH 2|VisualCameraHealth|Deleted|cams=3/3
38318,McCall,B,3,0,3,0,2,189|Raise|VisualCameraHealth|Deleted|cams=3/3; 178|VCH 2|VisualCameraHealth|Deleted|cams=3/3
38319,Site 2,B,3,0,3,0,3,992|AutoPatrol|AutoPatrol|Deleted|cams=3/3; 191|Raise|VisualCameraHealth|Deleted|cams=3/3; 993|test|AutoPatrol|Deleted|cams=3/3
39381,4.1 Test Legacy Sch 3,B,3,0,3,0,1,220|VCH - RL|VisualCameraHealth|Deleted|cams=3/3
39221,Victoria - EE Demo,B,2,0,2,0,4,214|NewT|VisualCameraHealth|Deleted|cams=2/2; 213|Test|VisualCameraHealth|Deleted|cams=2/2; 215|test1|VisualCameraHealth|Deleted|cams=2/2; 216|test1|VisualCameraHealth|Deleted|cams=2/2
39453,ECS Coffee - Etobicoke,B,2,0,2,0,1,239|VCH|VisualCameraHealth|Deleted|cams=2/2
43138,Elva Nunes Residence,B,2,0,2,0,1,595|VCH Check|VisualCameraHealth|Deleted|cams=2/2
37167,Guardian Test,B,1,0,1,0,1,120|test|VisualCameraHealth|Deleted|cams=1/1
37742,London,F,5,4,1,1,0,143|London VCH Actuate Test 1|VisualCameraHealth|Active|cams=4/5
44879,Solful - Petaluma,F,23,22,1,1,0,860|VCH Check|VisualCameraHealth|Active|cams=22/23
35828,Acme Bank,F,5,5,0,3,0,1|Acme Bank ATM|VisualCameraHealth|Active|cams=5/5; 126|Test 123|VisualCameraHealth|Active|cams=5/5; 125|Test new Schedule|VisualCameraHealth|Active|cams=5/5
37621,VCH 1,F,5,5,0,2,1,156|Open store (0800)|VisualCameraHealth|Active|cams=5/5; 139|VCH Demo - UK|VisualCameraHealth|Active|cams=5/5; 140|VCH Demo - UK|VisualCameraHealth|Deleted|cams=5/5
37743,New York,F,6,6,0,1,0,144|New York VCH Actuate Test 1|VisualCameraHealth|Active|cams=6/6
37744,400 North Ashley,F,20,20,0,3,0,151|400NA AP Actuate Daily 11:00|AutoPatrol|Active|cams=20/20; 150|400NA AP Actuate Sat/Sun 13:00|AutoPatrol|Active|cams=20/20; 145|400NA VCH Actuate Test 1|VisualCameraHealth|Active|cams=5/20
37751,400 North Ashley,F,14,14,0,3,0,196|All Indoor Cameras|AutoPatrol|Active|cams=14/14; 154|Test Site|VisualCameraHealth|Active|cams=14/14; 197|Ward Demo|AutoPatrol|Active|cams=14/14
37837,Test - RTSP\Generic,F,12,12,0,1,3,199|Action|AutoPatrol|Deleted|cams=12/12; 255|Test|VisualCameraHealth|Deleted|cams=4/12; 238|Test2|VisualCameraHealth|Deleted|cams=4/12; 1028|test5|AutoPatrol|Active|cams=12/12
