customer_id,customer_name,lead_name,container_name,camera_id,camera_name,schedules (id|title|patrolType|status; ...),subgroup,reason
37743,New York,AP-Tenant1-UK - Patrol,connector-37743,414448,City,144|New York VCH Actuate Test 1|VisualCameraHealth|Active,F4 (provisional),16 WARNINGs match error/failure pattern; provisional
37743,New York,AP-Tenant1-UK - Patrol,connector-37743,414449,Building Side Entrance,144|New York VCH Actuate Test 1|VisualCameraHealth|Active,F4 (provisional),16 WARNINGs match error/failure pattern; provisional
37743,New York,AP-Tenant1-UK - Patrol,connector-37743,414450,Tenant Lounge Entrance,144|New York VCH Actuate Test 1|VisualCameraHealth|Active,F4 (provisional),16 WARNINGs match error/failure pattern; provisional
37743,New York,AP-Tenant1-UK - Patrol,connector-37743,414451,Tenant Lounge,144|New York VCH Actuate Test 1|VisualCameraHealth|Active,F4 (provisional),16 WARNINGs match error/failure pattern; provisional
37743,New York,AP-Tenant1-UK - Patrol,connector-37743,414452,Building Side Entrance (Empty),144|New York VCH Actuate Test 1|VisualCameraHealth|Active,F4 (provisional),16 WARNINGs match error/failure pattern; provisional
37743,New York,AP-Tenant1-UK - Patrol,connector-37743,414453,Tenant Lounge (Door Opens),144|New York VCH Actuate Test 1|VisualCameraHealth|Active,F4 (provisional),16 WARNINGs match error/failure pattern; provisional
37744,400 North Ashley,AP-Tenant1-UK - Patrol,connector-37744,414454,Conference Room,151|400NA AP Actuate Daily 11:00|AutoPatrol|Active; 150|400NA AP Actuate Sat/Sun 13:00|AutoPatrol|Active; 145|400NA VCH Actuate Test 1|VisualCameraHealth|Active,F4,AP cronjob (ap-151) fires; 3 retries fail 'no response' on patrols API; Dummy-model warning present — site-level admin/Immix API connectivity
37744,400 North Ashley,AP-Tenant1-UK - Patrol,connector-37744,414455,Main Office,151|400NA AP Actuate Daily 11:00|AutoPatrol|Active; 150|400NA AP Actuate Sat/Sun 13:00|AutoPatrol|Active; 145|400NA VCH Actuate Test 1|VisualCameraHealth|Active,F4,AP cronjob (ap-151) fires; 3 retries fail 'no response' on patrols API; Dummy-model warning present — site-level admin/Immix API connectivity
37744,400 North Ashley,AP-Tenant1-UK - Patrol,connector-37744,414456,Finance Office,151|400NA AP Actuate Daily 11:00|AutoPatrol|Active; 150|400NA AP Actuate Sat/Sun 13:00|AutoPatrol|Active; 145|400NA VCH Actuate Test 1|VisualCameraHealth|Active,F4,AP cronjob (ap-151) fires; 3 retries fail 'no response' on patrols API; Dummy-model warning present — site-level admin/Immix API connectivity
37744,400 North Ashley,AP-Tenant1-UK - Patrol,connector-37744,414457,Conference Room (Empty),151|400NA AP Actuate Daily 11:00|AutoPatrol|Active; 150|400NA AP Actuate Sat/Sun 13:00|AutoPatrol|Active; 145|400NA VCH Actuate Test 1|VisualCameraHealth|Active,F4,AP cronjob (ap-151) fires; 3 retries fail 'no response' on patrols API; Dummy-model warning present — site-level admin/Immix API connectivity
37744,400 North Ashley,AP-Tenant1-UK - Patrol,connector-37744,414458,Corridor (Door Opens),151|400NA AP Actuate Daily 11:00|AutoPatrol|Active; 150|400NA AP Actuate Sat/Sun 13:00|AutoPatrol|Active; 145|400NA VCH Actuate Test 1|VisualCameraHealth|Active,F4,AP cronjob (ap-151) fires; 3 retries fail 'no response' on patrols API; Dummy-model warning present — site-level admin/Immix API connectivity
37744,400 North Ashley,AP-Tenant1-UK - Patrol,connector-37744,414459,Fight1-1,151|400NA AP Actuate Daily 11:00|AutoPatrol|Active; 150|400NA AP Actuate Sat/Sun 13:00|AutoPatrol|Active; 145|400NA VCH Actuate Test 1|VisualCameraHealth|Active,F4,AP cronjob (ap-151) fires; 3 retries fail 'no response' on patrols API; Dummy-model warning present — site-level admin/Immix API connectivity
37744,400 North Ashley,AP-Tenant1-UK - Patrol,connector-37744,414460,Corridor,151|400NA AP Actuate Daily 11:00|AutoPatrol|Active; 150|400NA AP Actuate Sat/Sun 13:00|AutoPatrol|Active; 145|400NA VCH Actuate Test 1|VisualCameraHealth|Active,F4,AP cronjob (ap-151) fires; 3 retries fail 'no response' on patrols API; Dummy-model warning present — site-level admin/Immix API connectivity
37744,400 North Ashley,AP-Tenant1-UK - Patrol,connector-37744,414461,City,151|400NA AP Actuate Daily 11:00|AutoPatrol|Active; 150|400NA AP Actuate Sat/Sun 13:00|AutoPatrol|Active; 145|400NA VCH Actuate Test 1|VisualCameraHealth|Active,F4,AP cronjob (ap-151) fires; 3 retries fail 'no response' on patrols API; Dummy-model warning present — site-level admin/Immix API connectivity
37744,400 North Ashley,AP-Tenant1-UK - Patrol,connector-37744,414462,Building Side Entrance,151|400NA AP Actuate Daily 11:00|AutoPatrol|Active; 150|400NA AP Actuate Sat/Sun 13:00|AutoPatrol|Active; 145|400NA VCH Actuate Test 1|VisualCameraHealth|Active,F4,AP cronjob (ap-151) fires; 3 retries fail 'no response' on patrols API; Dummy-model warning present — site-level admin/Immix API connectivity
37744,400 North Ashley,AP-Tenant1-UK - Patrol,connector-37744,414463,Tenant Lounge Entrance,151|400NA AP Actuate Daily 11:00|AutoPatrol|Active; 150|400NA AP Actuate Sat/Sun 13:00|AutoPatrol|Active; 145|400NA VCH Actuate Test 1|VisualCameraHealth|Active,F4,AP cronjob (ap-151) fires; 3 retries fail 'no response' on patrols API; Dummy-model warning present — site-level admin/Immix API connectivity
