scheduleId,tenantId,admin_pk,customer_id,customer_name,title,integration,patrolType,scheduleCameraCount,siteCameraCount,verdict,immix_code_at_scan,immix_status_at_scan,createdDate,updatedDate,disabledAt,disabledBy
d3e44531-32ee-40e3-3537-08ddd9a1a200,1419710a-2fcb-4b53-8d0b-404a42f889ed,120,37167,Guardian Test,test,VCH,VisualCameraHealth,1,1,gone_explicit,200,Deleted,2025-08-21T15:05:58,2026-04-24T19:34:49,2026-04-24T19:34:32,cleanup_lambda
30eb029c-9068-40c9-3545-08ddd9a1a200,dfda7621-f1d3-4469-b6df-dea988fd81a9,124,37255,Site 4,Demo VCH,VCH,VisualCameraHealth,3,4,gone_explicit,200,Deleted,2025-08-23T13:51:09,2026-04-24T19:35:06,2026-04-24T19:34:32,cleanup_lambda
3f8d5271-43b5-49c5-b97b-08ddc53a8a29,47dc2c1f-5c19-43fb-b5d5-753c5e96eb14,133,37261,New Office Cams,Autopatrol - Tue,AutoPatrol,AutoPatrol,2,2,gone_explicit,200,Deleted,2025-08-27T14:27:09,2026-04-24T19:34:59,2026-04-24T19:34:32,cleanup_lambda
4f4786a0-184b-4db4-b973-08ddc53a8a29,47dc2c1f-5c19-43fb-b5d5-753c5e96eb14,134,37261,New Office Cams,VCH prod,VCH,VisualCameraHealth,2,2,gone_explicit,200,Deleted,2025-08-27T14:27:09,2026-04-24T19:35:00,2026-04-24T19:34:32,cleanup_lambda
3adc2460-f9dd-4d9e-02ad-08dde70262a5,1419710a-2fcb-4b53-8d0b-404a42f889ed,136,37458,400 North Ashley GF 1 (1),asdfasdf,VCH,VisualCameraHealth,12,12,gone_explicit,200,Deleted,2025-08-29T13:55:18,2026-04-24T19:34:33,2026-04-24T19:34:32,cleanup_lambda
8e882917-c655-4dd4-02b3-08dde70262a5,1419710a-2fcb-4b53-8d0b-404a42f889ed,140,37621,VCH 1,VCH Demo - UK,VCH,VisualCameraHealth,5,5,gone_explicit,200,Deleted,2025-09-05T15:11:07,2026-04-24T19:35:11,2026-04-24T19:34:32,cleanup_lambda
ad2673dd-d567-4605-02bc-08dde70262a5,8591e195-6c73-4dcd-8351-b3dda89fbdda,146,35870,500 North Ashley,500NA VCH Actuate Test 1,VCH,VisualCameraHealth,12,12,gone_400,400,(err),2025-09-10T08:35:31,2026-04-24T19:34:34,2026-04-24T19:34:32,cleanup_lambda
c2aebe68-d31f-4c33-02bb-08dde70262a5,8591e195-6c73-4dcd-8351-b3dda89fbdda,147,35878,400 North Ashley,400NA VCH Actuate Test 1,VCH,VisualCameraHealth,16,18,gone_400,400,(err),2025-09-10T08:35:32,2026-04-24T19:34:33,2026-04-24T19:34:32,cleanup_lambda
54923949-a0c2-40ea-02bd-08dde70262a5,8591e195-6c73-4dcd-8351-b3dda89fbdda,148,35876,London,London VCH Actuate Test 1,VCH,VisualCameraHealth,6,7,gone_400,400,(err),2025-09-10T08:40:32,2026-04-24T19:34:58,2026-04-24T19:34:32,cleanup_lambda
e0f9c21f-05a2-4c32-02be-08dde70262a5,8591e195-6c73-4dcd-8351-b3dda89fbdda,149,35877,New York,New York VCH Actuate Test 1,VCH,VisualCameraHealth,6,6,gone_400,400,(err),2025-09-10T08:40:33,2026-04-24T19:35:00,2026-04-24T19:34:32,cleanup_lambda
