customer_id,customer_name,cohort,integration_type,customer_active,site_cams_total,cams_on_schedule,cams_orphan,schedules_running,schedules_paused,schedules_deleted,camera_id,camera_name,reason_class,reason
35877,New York,B,autopatrol,True,6,0,6,0,0,1,402359,Tenant Lounge (Door Opens),all-schedules-deleted,All 1 schedule(s) deleted; customer + cameras still in admin. Cohort-B-style (cleanup-pipeline candidate). Schedule titles: id=149 'New York VCH Actuate Test 1' status=Deleted
35878,400 North Ashley,B,autopatrol,True,18,0,18,0,0,3,402360,Conference,all-schedules-deleted,All 3 schedule(s) deleted; customer + cameras still in admin. Cohort-B-style (cleanup-pipeline candidate). Schedule titles: id=153 '400NA AP Actuate Daily 11:00' status=Deleted; id=152 '400NA AP Actuate Sat/Sun 13:00' status=Deleted; id=147 '400NA VCH Actuate Test 1' status=Deleted
35878,400 North Ashley,B,autopatrol,True,18,0,18,0,0,3,402361,Classroom,all-schedules-deleted,All 3 schedule(s) deleted; customer + cameras still in admin. Cohort-B-style (cleanup-pipeline candidate). Schedule titles: id=153 '400NA AP Actuate Daily 11:00' status=Deleted; id=152 '400NA AP Actuate Sat/Sun 13:00' status=Deleted; id=147 '400NA VCH Actuate Test 1' status=Deleted
35878,400 North Ashley,B,autopatrol,True,18,0,18,0,0,3,402362,Classroom 2,all-schedules-deleted,All 3 schedule(s) deleted; customer + cameras still in admin. Cohort-B-style (cleanup-pipeline candidate). Schedule titles: id=153 '400NA AP Actuate Daily 11:00' status=Deleted; id=152 '400NA AP Actuate Sat/Sun 13:00' status=Deleted; id=147 '400NA VCH Actuate Test 1' status=Deleted
35878,400 North Ashley,B,autopatrol,True,18,0,18,0,0,3,402363,Conference Room (Empty),all-schedules-deleted,All 3 schedule(s) deleted; customer + cameras still in admin. Cohort-B-style (cleanup-pipeline candidate). Schedule titles: id=153 '400NA AP Actuate Daily 11:00' status=Deleted; id=152 '400NA AP Actuate Sat/Sun 13:00' status=Deleted; id=147 '400NA VCH Actuate Test 1' status=Deleted
35878,400 North Ashley,B,autopatrol,True,18,0,18,0,0,3,402364,Corridor (Door Opens),all-schedules-deleted,All 3 schedule(s) deleted; customer + cameras still in admin. Cohort-B-style (cleanup-pipeline candidate). Schedule titles: id=153 '400NA AP Actuate Daily 11:00' status=Deleted; id=152 '400NA AP Actuate Sat/Sun 13:00' status=Deleted; id=147 '400NA VCH Actuate Test 1' status=Deleted
35878,400 North Ashley,B,autopatrol,True,18,0,18,0,0,3,402365,Conference Room Again,all-schedules-deleted,All 3 schedule(s) deleted; customer + cameras still in admin. Cohort-B-style (cleanup-pipeline candidate). Schedule titles: id=153 '400NA AP Actuate Daily 11:00' status=Deleted; id=152 '400NA AP Actuate Sat/Sun 13:00' status=Deleted; id=147 '400NA VCH Actuate Test 1' status=Deleted
35878,400 North Ashley,B,autopatrol,True,18,0,18,0,0,3,402366,Corridor,all-schedules-deleted,All 3 schedule(s) deleted; customer + cameras still in admin. Cohort-B-style (cleanup-pipeline candidate). Schedule titles: id=153 '400NA AP Actuate Daily 11:00' status=Deleted; id=152 '400NA AP Actuate Sat/Sun 13:00' status=Deleted; id=147 '400NA VCH Actuate Test 1' status=Deleted
35878,400 North Ashley,B,autopatrol,True,18,0,18,0,0,3,402367,Main Office,all-schedules-deleted,All 3 schedule(s) deleted; customer + cameras still in admin. Cohort-B-style (cleanup-pipeline candidate). Schedule titles: id=153 '400NA AP Actuate Daily 11:00' status=Deleted; id=152 '400NA AP Actuate Sat/Sun 13:00' status=Deleted; id=147 '400NA VCH Actuate Test 1' status=Deleted
35878,400 North Ashley,B,autopatrol,True,18,0,18,0,0,3,402368,City,all-schedules-deleted,All 3 schedule(s) deleted; customer + cameras still in admin. Cohort-B-style (cleanup-pipeline candidate). Schedule titles: id=153 '400NA AP Actuate Daily 11:00' status=Deleted; id=152 '400NA AP Actuate Sat/Sun 13:00' status=Deleted; id=147 '400NA VCH Actuate Test 1' status=Deleted
