admin_pk,schedule_id,integration,customer_id,customer_name,admin_schedule_status,admin_disabled_by,admin_disabled_at,admin_reenabled_by,admin_reenabled_at,admin_created_date,admin_updated_date,s3_tenant_id,s3_settings_found,ddb_last_patrol_ts,ddb_last_patrol_days_ago,ddb_patrol_count_30d,ddb_patrol_count_7d,ddb_patrol_count_total,immix_code,immix_schedule_status,verdict,notes
199,340f44e3-3992-4a77-e281-08de0670527f,autopatrol,37837,Test - RTSP\Generic,Deleted,,,,,2025-10-08T13:45:29.968922Z,2025-10-08T13:45:29.968940Z,37575b9e-59eb-43dd-8c91-b8ad1bc470db,yes,,,0,0,0,,(exc),other,
255,34939039-3eaf-47a5-1339-08de33786521,vch,37837,Test - RTSP\Generic,Deleted,,,,,2025-12-09T13:07:33.494650Z,2025-12-09T13:07:33.494667Z,37575b9e-59eb-43dd-8c91-b8ad1bc470db,yes,,,0,0,0,,(exc),other,
238,74c0a8ba-1fc2-4a16-c537-08de1b193ea0,vch,37837,Test - RTSP\Generic,Deleted,,,,,2025-11-06T18:11:17.586917Z,2025-11-06T18:11:17.586934Z,37575b9e-59eb-43dd-8c91-b8ad1bc470db,yes,,,0,0,0,,(exc),other,
1028,6d26cde3-dad6-43de-a040-08de8f388c7e,autopatrol,37837,Test - RTSP\Generic,Active,,,,,2026-04-07T17:41:03.690280Z,2026-04-07T17:41:39.097581Z,37575b9e-59eb-43dd-8c91-b8ad1bc470db,yes,1775678401,15.9,27,0,27,,(exc),other,
114,9dae6d58-79fc-4f40-7864-08ddcb586af6,vch,36265,The Hemp Company in Raleigh - IWatch,Active,,,,,2025-07-29T16:40:34.140916Z,2025-08-27T14:30:55.570348Z,ac399cd6-2fdf-4659-b8e5-baea54075017,yes,,,0,0,0,401,(err),auth_fail,
115,2bc2dafe-b340-4383-7863-08ddcb586af6,vch,36266,The Hemp Company in Wake Forest - iWatch,Active,,,,,2025-07-29T16:40:35.381049Z,2025-08-27T14:30:56.376338Z,ac399cd6-2fdf-4659-b8e5-baea54075017,yes,,,0,0,0,401,(err),auth_fail,
926,d4bbca21-eb63-4275-efa2-08de8c302866,vch,45107,"Transwestern - Houston, TX",Active,,,,,2026-03-28T20:27:03.483874Z,2026-03-28T20:27:22.175434Z,7b533b5a-a071-43ab-beb9-fb1cb9ea4ce1,yes,,,0,0,0,200,Active,active,
959,db5eb770-edb7-45f3-a03b-08de8f388c7e,vch,38737,ULTA #0583 PARKWAY PLAZA (4666517),Active,,,,,2026-04-01T14:45:59.719628Z,2026-04-08T18:38:18.342652Z,f858b03b-2a85-4771-89d5-dbf62456ed7b,yes,,,0,0,0,200,Deleted,gone_explicit,
40,09693904-ad99-4df8-b9ed-08ddc53a8a29,vch,35996,Urology Associates Airport Road-AIS,Active,,,,,2025-07-22T17:00:51.920117Z,2025-07-22T17:01:57.856827Z,ac399cd6-2fdf-4659-b8e5-baea54075017,yes,,,0,0,0,401,(err),auth_fail,
41,d2d13500-2147-4ae7-b9ec-08ddc53a8a29,vch,35997,Urology Associates Mobile Infirmary-AIS,Active,,,,,2025-07-22T17:00:53.199696Z,2025-07-22T17:01:58.639494Z,ac399cd6-2fdf-4659-b8e5-baea54075017,yes,,,0,0,0,401,(err),auth_fail,
366,db49f5de-4316-4820-865c-08de6b14f39b,autopatrol,42600,user test site,Paused,,,,,2026-02-17T18:52:29.713739Z,2026-02-17T20:54:27.857116Z,37575b9e-59eb-43dd-8c91-b8ad1bc470db,yes,,,0,0,0,,(exc),other,
156,6033935c-45c1-421d-c2e0-08ddf467938d,vch,37621,VCH 1,Active,,,,,2025-09-15T14:55:20.094853Z,2025-09-15T14:55:36.727399Z,1419710a-2fcb-4b53-8d0b-404a42f889ed,yes,,,0,0,0,200,Active,active,
139,844f1b02-38c3-4dc7-02b4-08dde70262a5,vch,37621,VCH 1,Active,,,,,2025-09-05T15:10:17.685797Z,2025-09-05T15:10:33.093542Z,1419710a-2fcb-4b53-8d0b-404a42f889ed,yes,,,0,0,0,200,Active,active,
140,8e882917-c655-4dd4-02b3-08dde70262a5,vch,37621,VCH 1,Deleted,,,,,2025-09-05T15:11:07.880004Z,2025-09-05T15:11:07.880027Z,1419710a-2fcb-4b53-8d0b-404a42f889ed,yes,,,0,0,0,200,Deleted,gone_explicit,
431,4ea364f8-5825-4502-865b-08de6b14f39b,autopatrol,42689,VCH Demo Site,Deleted,,,,,2026-02-19T15:34:49.816011Z,2026-02-19T15:34:49.816034Z,dfda7621-f1d3-4469-b6df-dea988fd81a9,yes,,,0,0,0,200,Deleted,gone_explicit,
430,db0d5eaf-902b-40c7-8661-08de6b14f39b,vch,42689,VCH Demo Site,Paused,,,,,2026-02-19T15:32:36.753278Z,2026-02-19T15:39:54.336593Z,dfda7621-f1d3-4469-b6df-dea988fd81a9,yes,,,0,0,0,200,Paused,paused_manual_review,
629,f123ae8f-8c68-46fd-2f4b-08de794c2d73,vch,43632,VCH Test Site - VID9999,Active,,,,,2026-03-04T18:56:18.022198Z,2026-03-04T19:41:43.052305Z,69e1fb38-3413-4023-b6f8-c3d687bd6f61,yes,,,0,0,0,400,(err),gone_400,
141,805fc929-2e78-4a82-02b5-08dde70262a5,vch,37628,VCH US,Active,,,,,2025-09-05T18:10:18.883208Z,2025-09-05T18:10:34.828363Z,1419710a-2fcb-4b53-8d0b-404a42f889ed,yes,,,0,0,0,200,Active,active,
350,fe1db3ed-b742-4c59-a4d8-08de5db25460,autopatrol,41178,Vehicle Test,Active,,,,,2026-01-28T14:12:38.961743Z,2026-04-10T18:36:32.538777Z,37575b9e-59eb-43dd-8c91-b8ad1bc470db,yes,1776132002,10.7,131,0,203,,(exc),other,
1057,f03a4928-1f91-43f7-3871-08dea13d817e,vch,46292,Victoria - Demo,Deleted,,,,,2026-04-23T15:48:46.288819Z,2026-04-23T15:48:46.288831Z,be2da6ac-850e-4685-a874-d1e0c4b9e6f9,yes,,,0,0,0,200,Deleted,gone_explicit,
214,05f2730c-cd34-44ca-6a4f-08de07409dfa,vch,39221,Victoria - EE Demo,Deleted,,,,,2025-10-30T15:05:40.991066Z,2025-10-30T15:05:40.991086Z,be2da6ac-850e-4685-a874-d1e0c4b9e6f9,yes,,,0,0,0,200,Deleted,gone_explicit,
213,ff963f83-b509-4ca3-6a50-08de07409dfa,vch,39221,Victoria - EE Demo,Active,,,,,2025-10-30T15:05:14.458934Z,2025-10-30T15:05:22.614027Z,be2da6ac-850e-4685-a874-d1e0c4b9e6f9,yes,,,0,0,0,200,Deleted,gone_explicit,
215,a13d25c9-98ec-49b5-6a4e-08de07409dfa,vch,39221,Victoria - EE Demo,Deleted,,,,,2025-10-30T15:05:41.778582Z,2025-10-30T15:05:41.778610Z,be2da6ac-850e-4685-a874-d1e0c4b9e6f9,yes,,,0,0,0,200,Deleted,gone_explicit,
216,28d0aedc-7aac-48b7-6a4d-08de07409dfa,vch,39221,Victoria - EE Demo,Deleted,,,,,2025-10-30T15:05:42.430746Z,2025-10-30T15:05:42.430764Z,be2da6ac-850e-4685-a874-d1e0c4b9e6f9,yes,,,0,0,0,200,Deleted,gone_explicit,
32,ca2b9dd2-62d8-42ba-b9f5-08ddc53a8a29,vch,35988,VSF Corporation - AIS,Active,,,,,2025-07-22T17:00:42.004251Z,2025-07-22T17:01:51.238417Z,ac399cd6-2fdf-4659-b8e5-baea54075017,yes,,,0,0,0,401,(err),auth_fail,
60,72dac64f-73bc-482e-b9d9-08ddc53a8a29,vch,36016,WASH VENTURES-ELBERTA-AIS,Active,,,,,2025-07-22T17:01:17.162310Z,2025-07-22T17:02:14.006948Z,ac399cd6-2fdf-4659-b8e5-baea54075017,yes,,,0,0,0,401,(err),auth_fail,
81,aed7860a-4e41-42dc-ba04-08ddc53a8a29,vch,36040,Williamsburg Building 14- Kiska Solutions,Active,,,,,2025-07-22T18:45:05.269295Z,2025-08-27T14:30:50.637593Z,ac399cd6-2fdf-4659-b8e5-baea54075017,yes,,,0,0,0,401,(err),auth_fail,
82,5478b04e-c0a0-4014-ba05-08ddc53a8a29,vch,36041,Williamsburg Building 16- Kiska Solutions,Active,,,,,2025-07-22T18:50:04.997837Z,2025-08-27T14:30:47.471414Z,ac399cd6-2fdf-4659-b8e5-baea54075017,yes,,,0,0,0,401,(err),auth_fail,
80,4c3130d5-64e0-4ada-ba03-08ddc53a8a29,vch,36038,Williamsburg Building 17- Kiska Solutions,Active,,,,,2025-07-22T18:35:04.284494Z,2025-08-27T14:30:46.581729Z,ac399cd6-2fdf-4659-b8e5-baea54075017,yes,,,0,0,0,401,(err),auth_fail,
24,6c790ccf-fdb5-494f-b9fd-08ddc53a8a29,vch,35980,WTSJ (AKA Safe Storage Milton) - AIS,Active,,,,,2025-07-22T17:00:32.242399Z,2025-07-22T17:01:44.858580Z,ac399cd6-2fdf-4659-b8e5-baea54075017,yes,,,0,0,0,401,(err),auth_fail,
22,39331471-823b-4d25-b9ff-08ddc53a8a29,vch,35978,YMCA - Spencer Ruggs - AIS,Active,,,,,2025-07-22T17:00:29.513331Z,2025-07-22T17:01:43.204055Z,ac399cd6-2fdf-4659-b8e5-baea54075017,yes,,,0,0,0,401,(err),auth_fail,
